country,NAME,WEEK1,WEEK2,WEEK3,WEEK4,WEEK5,WEEK6,WEEK7,WEEK8,WEEK9,WEEK10,WEEK11,WEEK12,WEEK13,WEEK14,WEEK15,WEEK16,WEEK17,WEEK18,WEEK19,WEEK20,WEEK21,WEEK22,WEEK23,WEEK24,WEEK25,WEEK26,WEEK27,WEEK28,WEEK29,WEEK30
Brunei,Brunei,0.123481958,0.139438796,0.159255086,0.183535115,0.213221407,0.248240975,0.288647886,0.332659132,0.377042733,0.415235093,0.437457316,0.436724815,0.410192734,0.365360402,0.311920662,0.261220751,0.216762479,0.184855196,0.164199778,0.151623151,0.143242393,0.135678241,0.127986405,0.119826681,0.111538424,0.103295092,0.095282334,0.087749713,0.080662977,0.074389712
Indonesia,Aceh,0.137907911,0.152515495,0.170003655,0.191074646,0.216237368,0.245960162,0.279952913,0.316108954,0.350143117,0.375007591,0.381944212,0.365735982,0.328444955,0.278752333,0.228944004,0.185697877,0.152198836,0.12814919,0.112297571,0.102702616,0.097014688,0.09329771,0.090306743,0.087541962,0.084758412,0.081993303,0.079177906,0.076369215,0.073733034,0.07129677
Indonesia,Bali,0.257368166,0.289447282,0.327889105,0.369377055,0.410650436,0.447042569,0.470738984,0.473260563,0.448527381,0.396912627,0.321296304,0.233490383,0.151737712,0.086586179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Banten,0.430644956,0.480111085,0.53821509,0.601642835,0.665105954,0.719613939,0.754031684,0.757150265,0.721511574,0.646794414,0.5420278,0.423756573,0.310238893,0.217667825,0.151110717,0.106189381,0.075944883,0.055248849,0.042961489,0.037143883,0.036210782,0.037838703,0.039889986,0.041806011,0.04323046,0.044040511,0.044237709,0,0,0
Indonesia,Bengkulu,0.344218641,0.386320702,0.436240821,0.492567084,0.552187057,0.609479755,0.657113811,0.686767872,0.690730042,0.663019672,0.603299895,0.51933833,0.424127131,0.335129443,0.261974686,0.207237651,0.168627471,0.143285061,0.128884063,0.122050135,0.119087282,0.117188274,0.115130218,0.112284803,0.108616759,0.10436721,0.099783451,0.095189589,0.090737553,0.086675686
Indonesia,Daerah Istimewa Yogyakarta,0.291918934,0.327868075,0.370762525,0.419284461,0.46772909,0.51053337,0.537199879,0.536178151,0.501738547,0.430786948,0.333867138,0.230056327,0.139030224,0.07380982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Dki Jakarta,0.414360582,0.463276292,0.520810162,0.583907871,0.647318316,0.702295641,0.73747242,0.741565308,0.707096429,0.633848376,0.530339225,0.413316188,0.301742766,0.21082947,0.146071572,0.102506284,0.07338415,0.053158275,0.04116986,0.035468423,0.034594048,0.036242412,0.038262033,0.040218251,0.041643226,0.042473913,0.042729041,0,0,0
Indonesia,Gorontalo,0.364093573,0.417664511,0.479680954,0.544092712,0.612398404,0.678684994,0.740947874,0.791921225,0.824388453,0.825874147,0.790654766,0.718663565,0.61388566,0.50134022,0.397975996,0.307183218,0.232422375,0.179113546,0.144132698,0.122483999,0.10805899,0.099478047,0.091882764,0.085740486,0,0,0,0,0,0
Indonesia,Jambi,0.25417402,0.288719591,0.33037041,0.379053621,0.432839081,0.488264811,0.539571606,0.580142521,0.602073812,0.59733921,0.562545776,0.500527745,0.422064038,0.342966859,0.274913004,0.222507568,0.185864566,0.162063525,0.148195585,0.140870684,0.136865348,0.133490952,0.12959804,0.124966517,0.119632396,0.113856883,0.107968,0.102202009,0.096798296,0.091879856
Indonesia,Jawa Barat,0.393130946,0.43976032,0.494463127,0.554873465,0.615292531,0.66703808,0.698924493,0.699449363,0.660704665,0.583647509,0.478108789,0.360918446,0.252684271,0.168170612,0.111365453,0.075525265,0.052783329,0.037188748,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Jawa Tengah,0.305082179,0.344753397,0.391943334,0.444913105,0.498535976,0.545627056,0.575535491,0.577465562,0.544192379,0.473375219,0.375020974,0.26728536,0.171693621,0.101175804,0.058441998,0.036104653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Jawa Timur,0.237762204,0.271511196,0.311601288,0.356969848,0.402959642,0.444589209,0.473158885,0.478103144,0.452452185,0.392778616,0.307043682,0.211498279,0.125544165,0.06410611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Barat,0.231420791,0.264362217,0.303951892,0.349491157,0.398854991,0.448723616,0.493526423,0.526584556,0.540755433,0.530453315,0.492969917,0.433672739,0.362469934,0.292468865,0.232803832,0.186634305,0.152453546,0.128876942,0.114775699,0.107681447,0.103684109,0.100793157,0.097431365,0.093298397,0.088532574,0.083520957,0.078506667,0.073644538,0.069146633,0.065112743
Indonesia,Kalimantan Selatan,0.3012328,0.344171083,0.395133536,0.4519266,0.510983624,0.566123587,0.609190245,0.630581394,0.622941512,0.58056742,0.508217081,0.414527861,0.318834655,0.23687788,0.176374279,0.135145411,0.106223669,0.085175208,0.070540542,0.061843451,0.057187212,0.0542337,0.052406828,0.050825182,0.048982911,0.046853853,0.044711025,0.042465324,0,0
