Country,Name,Date,Lon,Lat,Movement_value,Population density,Unemployment rate,GDP per capita,Aged 65 or older and Aged 17 or younger,Urbanization rate,Poverty rate,"Number of Hopital per 10,000",Vaccination rate,Stringency index,Cases,Cases (no incubation)
Brunei,Brunei,2021/6/1,114.7560953,4.528175939,28772,79,7.4,29299.61,27.83,78.25,5,0.77,0.153083258,40.74,2,2
Brunei,Brunei,2021/6/2,114.7560953,4.528175939,28063,79,7.4,29299.61,27.83,78.25,5,0.77,0.125913464,40.74,0,0
Brunei,Brunei,2021/6/3,114.7560953,4.528175939,28137,79,7.4,29299.61,27.83,78.25,5,0.77,0.161415644,40.74,2,0
Brunei,Brunei,2021/6/4,114.7560953,4.528175939,23003,79,7.4,29299.61,27.83,78.25,5,0.77,0.159640535,40.74,0,0
Brunei,Brunei,2021/6/5,114.7560953,4.528175939,26372,79,7.4,29299.61,27.83,78.25,5,0.77,0.15972929,40.74,0,0
Brunei,Brunei,2021/6/6,114.7560953,4.528175939,18052,79,7.4,29299.61,27.83,78.25,5,0.77,0.159724853,40.74,0,0
Brunei,Brunei,2021/6/7,114.7560953,4.528175939,26481,79,7.4,29299.61,27.83,78.25,5,0.77,0.133605192,40.74,0,0
Brunei,Brunei,2021/6/8,114.7560953,4.528175939,28014,79,7.4,29299.61,27.83,78.25,5,0.77,0.176857272,40.74,2,2
Brunei,Brunei,2021/6/9,114.7560953,4.528175939,28102,79,7.4,29299.61,27.83,78.25,5,0.77,0.137504772,40.74,0,0
Brunei,Brunei,2021/6/10,114.7560953,4.528175939,27809,79,7.4,29299.61,27.83,78.25,5,0.77,0.139948295,40.74,0,2
Brunei,Brunei,2021/6/11,114.7560953,4.528175939,21844,79,7.4,29299.61,27.83,78.25,5,0.77,0.140094587,40.74,1,0
Brunei,Brunei,2021/6/12,114.7560953,4.528175939,25247,79,7.4,29299.61,27.83,78.25,5,0.77,0.202785023,40.74,0,0
Brunei,Brunei,2021/6/13,114.7560953,4.528175939,17308,79,7.4,29299.61,27.83,78.25,5,0.77,0.142503823,40.74,4,0
Brunei,Brunei,2021/6/14,114.7560953,4.528175939,26441,79,7.4,29299.61,27.83,78.25,5,0.77,0.145116496,40.74,0,0
Brunei,Brunei,2021/6/15,114.7560953,4.528175939,28235,79,7.4,29299.61,27.83,78.25,5,0.77,0.214260783,40.74,1,2
Brunei,Brunei,2021/6/16,114.7560953,4.528175939,26971,79,7.4,29299.61,27.83,78.25,5,0.77,0.219736716,40.74,0,0
Brunei,Brunei,2021/6/17,114.7560953,4.528175939,27043,79,7.4,29299.61,27.83,78.25,5,0.77,0.150799002,40.74,0,0
Brunei,Brunei,2021/6/18,114.7560953,4.528175939,21232,79,7.4,29299.61,27.83,78.25,5,0.77,0.150949865,40.74,0,1
Brunei,Brunei,2021/6/19,114.7560953,4.528175939,24739,79,7.4,29299.61,27.83,78.25,5,0.77,0.153084806,40.74,3,0
Brunei,Brunei,2021/6/20,114.7560953,4.528175939,17255,79,7.4,29299.61,27.83,78.25,5,0.77,0.252652674,40.74,0,4
Brunei,Brunei,2021/6/21,114.7560953,4.528175939,25383,79,7.4,29299.61,27.83,78.25,5,0.77,0.159725064,40.74,0,0
Brunei,Brunei,2021/6/22,114.7560953,4.528175939,26430,79,7.4,29299.61,27.83,78.25,5,0.77,0.252320661,40.74,0,1
Brunei,Brunei,2021/6/23,114.7560953,4.528175939,26044,79,7.4,29299.61,27.83,78.25,5,0.77,0.247690881,40.74,1,0
Brunei,Brunei,2021/6/24,114.7560953,4.528175939,26706,79,7.4,29299.61,27.83,78.25,5,0.77,0.278605163,40.74,1,0
Brunei,Brunei,2021/6/25,114.7560953,4.528175939,21277,79,7.4,29299.61,27.83,78.25,5,0.77,0.277059449,40.74,0,0
Brunei,Brunei,2021/6/26,114.7560953,4.528175939,24848,79,7.4,29299.61,27.83,78.25,5,0.77,0.174797649,40.74,1,3
Brunei,Brunei,2021/6/27,114.7560953,4.528175939,16817,79,7.4,29299.61,27.83,78.25,5,0.77,0.293074245,40.74,0,0
Brunei,Brunei,2021/6/28,114.7560953,4.528175939,25901,79,7.4,29299.61,27.83,78.25,5,0.77,0.18184478,40.74,0,0
Brunei,Brunei,2021/6/29,114.7560953,4.528175939,27763,79,7.4,29299.61,27.83,78.25,5,0.77,0.187877015,40.74,4,0
Brunei,Brunei,2021/6/30,114.7560953,4.528175939,27333,79,7.4,29299.61,27.83,78.25,5,0.77,0.193054359,40.74,0,1
Brunei,Brunei,2021/7/1,114.7560953,4.528175939,27995,79,7.4,29299.61,27.83,78.25,5,0.77,0.199799764,40.74,0,1
Brunei,Brunei,2021/7/2,114.7560953,4.528175939,22111,79,7.4,29299.61,27.83,78.25,5,0.77,0.200675226,40.74,0,0
Brunei,Brunei,2021/7/3,114.7560953,4.528175939,25605,79,7.4,29299.61,27.83,78.25,5,0.77,0.20834181,40.74,2,1
Brunei,Brunei,2021/7/4,114.7560953,4.528175939,17473,79,7.4,29299.61,27.83,78.25,5,0.77,0.210968198,40.74,0,0
Brunei,Brunei,2021/7/5,114.7560953,4.528175939,26573,79,7.4,29299.61,27.83,78.25,5,0.77,0.219475957,40.74,9,0
Brunei,Brunei,2021/7/6,114.7560953,4.528175939,27698,79,7.4,29299.61,27.83,78.25,5,0.77,0.228111721,40.74,5,4
Brunei,Brunei,2021/7/7,114.7560953,4.528175939,27133,79,7.4,29299.61,27.83,78.25,5,0.77,0.236884633,40.74,0,0
Brunei,Brunei,2021/7/8,114.7560953,4.528175939,27358,79,7.4,29299.61,27.83,78.25,5,0.77,0.246334143,40.74,0,0
Brunei,Brunei,2021/7/9,114.7560953,4.528175939,21148,79,7.4,29299.61,27.83,78.25,5,0.77,0.247911347,40.74,0,0
Brunei,Brunei,2021/7/10,114.7560953,4.528175939,24642,79,7.4,29299.61,27.83,78.25,5,0.77,0.37150895,40.74,1,2
Brunei,Brunei,2021/7/11,114.7560953,4.528175939,17523,79,7.4,29299.61,27.83,78.25,5,0.77,0.366632321,40.74,0,0
Brunei,Brunei,2021/7/12,114.7560953,4.528175939,25856,79,7.4,29299.61,27.83,78.25,5,0.77,0.375281278,37.96,0,9
Brunei,Brunei,2021/7/13,114.7560953,4.528175939,26980,79,7.4,29299.61,27.83,78.25,5,0.77,0.277133054,37.96,22,5
Brunei,Brunei,2021/7/14,114.7560953,4.528175939,27354,79,7.4,29299.61,27.83,78.25,5,0.77,0.391819111,37.96,0,0
Brunei,Brunei,2021/7/15,114.7560953,4.528175939,14885,79,7.4,29299.61,27.83,78.25,5,0.77,0.396213201,37.96,6,0
Brunei,Brunei,2021/7/16,114.7560953,4.528175939,21455,79,7.4,29299.61,27.83,78.25,5,0.77,0.287442026,37.96,2,0
Brunei,Brunei,2021/7/17,114.7560953,4.528175939,24804,79,7.4,29299.61,27.83,78.25,5,0.77,0.411951664,37.96,8,1
Brunei,Brunei,2021/7/18,114.7560953,4.528175939,16600,79,7.4,29299.61,27.83,78.25,5,0.77,0.405726182,37.96,0,0
Brunei,Brunei,2021/7/19,114.7560953,4.528175939,25902,79,7.4,29299.61,27.83,78.25,5,0.77,0.307451947,37.96,12,0
Brunei,Brunei,2021/7/20,114.7560953,4.528175939,26776,79,7.4,29299.61,27.83,78.25,5,0.77,0.440469915,37.96,0,22
Brunei,Brunei,2021/7/21,114.7560953,4.528175939,15891,79,7.4,29299.61,27.83,78.25,5,0.77,0.315235106,37.96,0,0
Brunei,Brunei,2021/7/22,114.7560953,4.528175939,26261,79,7.4,29299.61,27.83,78.25,5,0.77,0.455753367,37.96,0,6
Brunei,Brunei,2021/7/23,114.7560953,4.528175939,20368,79,7.4,29299.61,27.83,78.25,5,0.77,0.324616042,37.96,3,2
